Epoch,Timestamp,Total_EP,Total_Reward,Pokemon_Caught,Efficiency_Score
1,14:06:10,0,54,0,0.7312002319257553
1,14:06:11,61,154,0,1
2,14:06:14,61,214,0,1
2,14:06:15,250,314,0,1
3,14:06:17,250,372,0,1
3,14:06:18,350,472,0,1
4,14:06:18,350,524,0,1
4,14:06:19,485,624,0,1
1,14:08:57,0,5,0,0.12856182238286074,EXPLORE
1,14:08:58,0,10,0,0.2207653385853499,EXPLORE
1,14:09:00,0,15,0,0.2620184604051584,EXPLORE
1,14:09:04,0,20,0,0.2731463165593665,EXPLORE
1,14:09:07,0,25,0,0.27160366714786377,EXPLORE
1,14:09:09,0,30,0,0.2987409451901499,EXPLORE
1,14:09:10,0,35,0,0.33738765577264374,EXPLORE
1,14:09:10,0,85,0,0.8189781495081675,BATTLE
1,14:09:10,269,185,0,1.0,BATTLE
2,14:09:12,269,235,0,1.0,BATTLE
2,14:09:12,430,335,0,1.0,BATTLE
3,14:09:16,430,340,0,1.0,EXPLORE
3,14:09:22,430,390,0,1.0,BATTLE
3,14:09:23,639,490,0,1.0,BATTLE
4,14:09:26,639,495,0,1.0,EXPLORE
4,14:09:29,639,545,0,1.0,BATTLE
4,14:09:29,830,645,0,1.0,BATTLE
1,14:11:55,0,2,0.03214382591479016,EXPLORE
1,14:11:56,0,4,0.06107330223538441,EXPLORE
1,14:11:56,0,-1,-0.014567938582910448,EXPLORE
1,14:11:56,80,99,1.0,BATTLE
2,14:11:57,80,101,1.0,EXPLORE
2,14:11:58,80,103,1.0,EXPLORE
2,14:11:58,233,203,1.0,BATTLE
3,14:11:59,233,183,1.0,BATTLE
4,14:12:00,233,178,1.0,EXPLORE
4,14:12:01,233,183,1.0,EXPLORE
4,14:12:01,406,283,1.0,BATTLE
5,14:12:02,406,285,1.0,EXPLORE
5,14:12:02,406,287,1.0,EXPLORE
5,14:12:03,406,289,1.0,EXPLORE
5,14:12:03,406,291,1.0,EXPLORE
5,14:12:03,406,296,1.0,EXPLORE
5,14:12:04,406,301,1.0,EXPLORE
5,14:12:04,406,306,1.0,EXPLORE
5,14:12:04,406,308,1.0,EXPLORE
5,14:12:05,570,408,1.0,BATTLE
6,14:12:06,570,413,1.0,BATTLE
7,14:12:07,570,415,1.0,EXPLORE
7,14:12:07,570,417,1.0,EXPLORE
7,14:12:07,570,422,1.0,EXPLORE
7,14:12:08,570,424,1.0,EXPLORE
7,14:12:08,570,426,1.0,EXPLORE
7,14:12:09,570,428,1.0,EXPLORE
7,14:12:09,570,433,1.0,EXPLORE
7,14:12:09,570,438,1.0,EXPLORE
7,14:12:10,570,433,1.0,EXPLORE
7,14:12:10,570,438,1.0,EXPLORE
7,14:12:10,570,433,1.0,EXPLORE
7,14:12:11,570,435,1.0,EXPLORE
7,14:12:12,570,440,1.0,EXPLORE
7,14:12:12,620,540,1.0,BATTLE
8,14:12:13,620,542,1.0,EXPLORE
8,14:12:13,620,544,1.0,EXPLORE
8,14:12:14,620,549,1.0,BATTLE
9,14:12:15,620,551,1.0,EXPLORE
1,14:13:47,0,2,0.03212189075320374,EXPLORE
1,14:13:48,0,4,0.06117756452833587,EXPLORE
1,14:13:48,0,6,0.08758362108706491,EXPLORE
1,14:13:48,0,1,0.013964082813860381,EXPLORE
1,14:13:49,0,6,0.08028569221818324,EXPLORE
1,14:13:49,0,8,0.10274452401151542,EXPLORE
